"Run","HasBest","Status","Evidence"
"train_0626_overlap_a1a2bias_decoder_structbias_w01_20260716_2","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_a1bias_a2merge_w01_20260716","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_a2_resmerge_a02_w01_20260714","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_a2_resmerge_w01_20260713","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_a2_stage3_roadbias_a01_w01_20260715","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_connbias_a123_gate_nodir_w01_20260718","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_connbias_c2_valuegate_w01_20260719","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_decoder_connbias_a123_decay_lam01_w01_20260718","False","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_patch_dilated3x3_20260711","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_roadattn_20260712","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_roadattn_msaf_20260712","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_overlap_roadaware_merge_20260713","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0626_stage1_mergeattn_conbias_congate_w01_20260719","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0718_a123_dirfield_dirconnbias_w01_d02_20260721","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_0718_a123_dirfield_softdir_highorder_w01_d02_20260722","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_1c2c715_sc_consistency_cldice_w01_20260723","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_1c2c715_stage_cldice_no_sccons_w01_20260723","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
"train_decoder_gate_alt_nw0_20260717","True","OFF_0626_or_disabled","profile=stage23_boundary_0626; Final heads disabled"
